submission_id,source_file,merchant_name,region,region_pic_email,rejection_reasons
A002,submissions_partnerA.csv,Kedai Bahagia Trading,,,Missing required field: region
A003,submissions_partnerA.csv,Gerai Emas Holdings,Northern,weiming.tan@example-ops.test,Contact phone has fewer than 9 digits after normalisation
A004,submissions_partnerA.csv,Kedai Emas Trading,Central,aishah.rahman@example-ops.test,Merchant is already onboarded with ID M0005; Merchant is already onboarded based on merchant name
A005,submissions_partnerA.csv,Sinar Lestari Sdn Bhd,Northern,weiming.tan@example-ops.test,Contact phone has fewer than 9 digits after normalisation
A014,submissions_partnerA.csv,WARUNG SELERA RESOURCES,Southern,devraj.pillai@example-ops.test,Business category cannot be mapped: other
A015,submissions_partnerA.csv,SINAR CEMERLANG TRADING,East Coast,nurul.huda@example-ops.test,Contact phone has fewer than 9 digits after normalisation
A020,submissions_partnerA.csv,RESTORAN LESTARI TRADING,Central,aishah.rahman@example-ops.test,Contact phone has fewer than 9 digits after normalisation
A022,submissions_partnerA.csv,MAJU MUTIARA,Penang,,Invalid region: Penang
A033,submissions_partnerA.csv,Maju Mutiara Trading,KL,,Invalid region: KL
A036,submissions_partnerA.csv,Harmoni Anugerah & Sons,Penang,,Invalid region: Penang
A039,submissions_partnerA.csv,Pusat Fajar,Central,aishah.rahman@example-ops.test,Merchant is already onboarded with ID M0011; Merchant is already onboarded based on merchant name
A046,submissions_partnerA.csv,The Bahagia Resources,,,Missing required field: region
A047,submissions_partnerA.csv,Maju Impian,Southern,devraj.pillai@example-ops.test,Merchant is already onboarded with ID M0019; Merchant is already onboarded based on merchant name
A050,submissions_partnerA.csv,RESTORAN MUTIARA & SONS,Sarawak,margaret.anyi@example-ops.test,Merchant is already onboarded based on merchant name
A058,submissions_partnerA.csv,BESTARI IMPIAN HOLDINGS,Northern,weiming.tan@example-ops.test,Business category cannot be mapped: n/a
A059,submissions_partnerA.csv,Kedai Selera Sdn Bhd,Sarawak,margaret.anyi@example-ops.test,Contact phone has fewer than 9 digits after normalisation
A060,submissions_partnerA.csv,Restoran Mutiara Enterprise,Sabah,jeffrey.lojuki@example-ops.test,Registration date is after the reference date 2026-06-01
A062,submissions_partnerA.csv,Restoran Emas Trading,Northern,weiming.tan@example-ops.test,Merchant is already onboarded based on merchant name
A066,submissions_partnerA.csv,sejahtera jaya holdings,Sarawak,margaret.anyi@example-ops.test,Registration date is after the reference date 2026-06-01
A068,submissions_partnerA.csv,Bestari Damai Trading,Northern,weiming.tan@example-ops.test,Contact phone has fewer than 9 digits after normalisation
A069,submissions_partnerA.csv,The Anugerah Trading,East Coast,nurul.huda@example-ops.test,Merchant is already onboarded based on merchant name
